taxifromsiam.tripid,taxifromsiam.distance,taxifromsiam.originlat,taxifromsiam.originlon,taxifromsiam.deslat,taxifromsiam.deslon,taxifromsiam.origingrid,taxifromsiam.desgrid,taxifromsiam.totaltriptime,taxifromsiam.totaltriptimetopickup,taxifromsiam.avgspeed,taxifromsiam.trafficdelay,taxifromsiam.trafficdelaytopickup,taxifromsiam.waittime,taxifromsiam.costnew
31129,2.04,13.75033,100.54007,13.74592,100.55303,1262,1263,0,7,25.20754717,0,2,4,0
31131,0.14,13.74473,100.54035,13.7435,100.54028,1262,1324,0,1,12,0,0,1,0
31132,4.68,13.74323,100.54033,13.74008,100.51198,1324,1321,17,1,29.03030303,1,0,1,58
31140,0.08,13.74268,100.55135,13.74307,100.55092,1325,1325,1,10,19,0,2,1,36
31142,1,13.74345,100.54525,13.74468,100.54923,1324,1262,2,6,34.31578947,0,0,3,36
31143,1.55,13.74315,100.54947,13.74977,100.5423,1324,1262,0,4,23.40540541,0,0,5,0
31144,4.93,13.74977,100.54225,13.72378,100.52108,1262,1446,16,4,25.61666667,5,0,5,68
31161,0.34,13.74153,100.54342,13.73862,100.54298,1324,1324,0,1,30.85714286,0,1,2,0
31162,5.15,13.73897,100.5429,13.73815,100.55917,1324,1325,14,1,29.3559322,2,1,2,63
31163,0.72,13.73812,100.55905,13.73878,100.55762,1325,1325,0,2,22.63157895,0,0,1,0
31164,3.24,13.73875,100.55747,13.74677,100.5407,1325,1262,12,2,22.64516129,1,0,1,50
31165,0.24,13.74733,100.54082,13.74595,100.5405,1262,1262,0,2,11.38461538,0,1,3,0
31166,3.69,13.74593,100.54053,13.74137,100.55862,1262,1325,14,2,22.57731959,1,1,3,53
31167,0.89,13.74098,100.55858,13.73468,100.56083,1325,1326,0,3,25.09090909,0,1,0,0
31173,0.37,13.74407,100.55333,13.74262,100.55145,1325,1325,0,8,10.36363636,0,6,9,0
31174,0.06,13.74263,100.55128,13.74287,100.55092,1325,1325,0,8,9.2,0,6,9,36
31175,1.66,13.74348,100.5511,13.73773,100.55945,1325,1325,0,12,16.4,0,4,9,0
31176,5.69,13.73765,100.55973,13.70193,100.53745,1325,1571,13,12,45.97619048,1,4,9,64
31179,0.07,13.73865,100.5481,13.7386,100.5487,1324,1324,0,0,10.8,0,0,1,0
31180,0.46,13.73918,100.54905,13.73507,100.54853,1324,1324,1,0,22.76923077,0,0,1,36
31181,0.93,13.73482,100.54852,13.73425,100.54063,1324,1386,0,3,26.08333333,0,0,0,0
31182,2.06,13.73427,100.5402,13.72275,100.5313,1324,1447,5,3,25.87234043,0,0,0,42
31190,4.97,13.74948,100.5436,13.72318,100.53582,1262,1447,22,24,25.8,3,3,4,64
31194,1.04,13.748,100.54473,13.73945,100.54375,1262,1324,2,11,33.7,0,1,1,36
31195,0.51,13.73958,100.54352,13.73537,100.54235,1324,1324,0,2,32.5,0,0,2,0
31196,4.09,13.73507,100.5423,13.7289,100.51527,1324,1383,10,2,29.67058824,1,0,2,55
31198,0.42,13.74623,100.53393,13.74598,100.53005,1261,1261,1,9,18.44444444,1,1,4,38
31199,0,13.74592,100.52968,13.74592,100.52968,1260,1260,0,0,6,0,0,0,0
31203,3.07,13.74752,100.54077,13.7461,100.54057,1262,1262,0,10,21.8961039,0,2,7,0
31204,6.16,13.74582,100.5405,13.75997,100.49578,1262,1195,20,10,28.28368794,1,2,7,66
31207,0.02,13.74457,100.54398,13.74435,100.54397,1262,1262,0,0,18,0,0,0,0
31208,2.53,13.74423,100.54407,13.74543,100.5561,1324,1263,7,0,27.83050847,2,0,0,48
31210,3.18,13.74428,100.54392,13.74047,100.55743,1262,1325,9,7,25.49367089,2,0,2,52
31211,6.76,13.74065,100.55762,13.72858,100.5299,1325,1384,0,19,28.96732026,0,2,2,0
31226,1.05,13.74097,100.55453,13.7358,100.55183,1325,1325,7,52,13.2,0,3,2,36
31227,1.75,13.73623,100.55305,13.74387,100.54568,1325,1324,0,6,17.03846154,0,0,2,0
31228,3.52,13.7436,100.54577,13.73857,100.5489,1324,1324,10,6,24.13483146,4,0,2,58
31229,3.38,13.73925,100.54905,13.73048,100.5342,1324,1385,0,9,26,0,1,2,0
31237,0.24,13.74417,100.5409,13.7448,100.53882,1324,1261,0,1,24.85714286,0,0,0,0
31238,1.78,13.7449,100.53838,13.73153,100.53377,1261,1385,16,1,26.9047619,0,0,0,40
31241,2.45,13.73845,100.54852,13.75023,100.53998,1324,1261,13,0,20.11940299,3,0,1,50
31242,1.61,13.75028,100.53978,13.74838,100.53095,1261,1261,0,8,19.4893617,0,1,8,0
31243,0.4,13.74777,100.53092,13.74652,100.5339,1261,1261,2,8,18.18181818,0,1,8,36
31244,2.75,13.74525,100.5379,13.74625,100.5533,1261,1263,0,21,17.40909091,0,8,15,0
31255,16.69,13.7411,100.55427,13.74092,100.53983,1325,1323,66,9,24.58660508,7,3,5,143
31261,3.98,13.73877,100.54275,13.75332,100.53983,1324,1261,33,31,20.47154472,14,5,6,80
31262,0.56,13.75333,100.53978,13.75185,100.53678,1261,1261,0,4,11.38461538,0,3,2,0
